lead_id,listing_id,agent_id,agent_name,agency,property_type,bedrooms,community,emirate,listing_price,lead_source,lead_status,lead_date,buyer_name
LED0001,LST0079,AGT004,Raj Patel,Driven Properties,Studio,0,Khalifa City,Abu Dhabi,982000.0,Direct Call,Contacted,2026-05-22,Buyer_0001
LED0002,LST0166,AGT010,Carlos Mendez,Savills,Penthouse,5,Emirates Hills,Dubai,10529000.0,Bayut,Qualified,2026-02-20,Buyer_0002
LED0003,LST0146,AGT003,Fatima Hassan,Allsopp & Allsopp,Studio,0,Jumeirah Village Circle,Dubai,1181000.0,PropertyFinder,Qualified,2026-05-13,Buyer_0003
LED0004,LST0283,AGT008,Tom Reynolds,Knight Frank,Townhouse,0,JBR,Dubai,3566000.0,Direct Call,Contacted,2026-01-23,Buyer_0004
LED0005,LST0156,AGT007,Priya Nair,Hamptons International,Studio,0,Business Bay,Dubai,522000.0,Walk-in,Lost,2026-06-09,Buyer_0005
LED0006,LST0258,AGT009,Aisha Al Zaabi,CBRE,Townhouse,0,JBR,Dubai,3513000.0,Bayut,Lost,2026-02-04,Buyer_0006
LED0007,LST0079,AGT004,Raj Patel,Driven Properties,Studio,0,Khalifa City,Abu Dhabi,982000.0,Bayut,Lost,2026-01-29,Buyer_0007
LED0008,LST0173,AGT005,Emma Clarke,Dubizzle Property,Penthouse,0,Yas Island,Abu Dhabi,8376000.0,Walk-in,New,2026-06-25,Buyer_0008
LED0009,LST0042,AGT009,Aisha Al Zaabi,CBRE,Studio,0,Dubai Marina,Dubai,358000.0,PropertyFinder,Lost,2026-04-26,Buyer_0009
LED0010,LST0108,AGT009,Aisha Al Zaabi,CBRE,Studio,0,Al Nahda,Sharjah,1036000.0,Walk-in,Converted,2026-01-25,Buyer_0010
LED0011,LST0016,AGT007,Priya Nair,Hamptons International,Studio,0,Al Nahda,Sharjah,1153000.0,Referral,Lost,2026-04-19,Buyer_0011
LED0012,LST0155,AGT007,Priya Nair,Hamptons International,Studio,0,Al Maryah Island,Abu Dhabi,733000.0,Referral,Contacted,2026-01-08,Buyer_0012
LED0013,LST0208,AGT002,James Mitchell,Espace Real Estate,Apartment,3,Downtown Dubai,Dubai,627000.0,Direct Call,Converted,2026-06-14,Buyer_0013
LED0014,LST0031,AGT004,Raj Patel,Driven Properties,Apartment,0,Downtown Dubai,Dubai,1856000.0,Bayut,Converted,2026-03-18,Buyer_0014
LED0015,LST0248,AGT005,Emma Clarke,Dubizzle Property,Apartment,4,Meydan City,Dubai,1053000.0,Referral,Contacted,2026-04-06,Buyer_0015
LED0016,LST0074,AGT005,Emma Clarke,Dubizzle Property,Townhouse,1,Al Majaz,Sharjah,2550000.0,Direct Call,Qualified,2026-04-05,Buyer_0016
LED0017,LST0205,AGT004,Raj Patel,Driven Properties,Studio,0,Al Majaz,Sharjah,709000.0,Bayut,Qualified,2026-02-21,Buyer_0017
LED0018,LST0288,AGT008,Tom Reynolds,Knight Frank,Townhouse,0,Al Reem Island,Abu Dhabi,3043000.0,PropertyFinder,Qualified,2026-05-02,Buyer_0018
LED0019,LST0239,AGT007,Priya Nair,Hamptons International,Studio,0,Muwailih Commercial,Sharjah,740000.0,PropertyFinder,Qualified,2026-03-09,Buyer_0019
LED0020,LST0127,AGT008,Tom Reynolds,Knight Frank,Penthouse,3,Emirates Hills,Dubai,5825000.0,Bayut,New,2026-06-20,Buyer_0020
LED0021,LST0149,AGT002,James Mitchell,Espace Real Estate,Penthouse,5,Downtown Dubai,Dubai,10905000.0,Referral,Lost,2026-03-17,Buyer_0021
LED0022,LST0128,AGT010,Carlos Mendez,Savills,Studio,0,Al Reem Island,Abu Dhabi,357000.0,Bayut,Qualified,2026-02-05,Buyer_0022
LED0023,LST0161,AGT009,Aisha Al Zaabi,CBRE,Townhouse,3,Yas Island,Abu Dhabi,4343000.0,Bayut,Contacted,2026-02-25,Buyer_0023
LED0024,LST0264,AGT008,Tom Reynolds,Knight Frank,Penthouse,4,Al Majaz,Sharjah,3050000.0,Referral,Converted,2026-04-15,Buyer_0024
